player,dealer,ace,action
15,17,True,1
16,17,True,1
17,17,True,1
18,17,True,1
19,17,True,1
20,17,True,1
21,17,True,1
1,18,True,1
2,18,True,1
3,18,True,1
4,18,True,1
5,18,True,1
6,18,True,1
7,18,True,1
8,18,True,1
9,18,True,1
10,18,True,1
11,18,True,1
12,18,True,1
13,18,True,1
14,18,True,1
15,18,True,1
16,18,True,1
17,18,True,1
18,18,True,1
19,18,True,1
20,18,True,1
21,18,True,1
1,19,True,1
2,19,True,1
3,19,True,1
4,19,True,1
5,19,True,1
6,19,True,1
7,19,True,1
8,19,True,1
9,19,True,1
10,19,True,1
11,19,True,1
12,19,True,1
13,19,True,1
14,19,True,1
15,19,True,1
16,19,True,1
17,19,True,1
18,19,True,1
19,19,True,1
20,19,True,1
21,19,True,1
1,20,True,1
2,20,True,1
3,20,True,1
4,20,True,1
5,20,True,1
6,20,True,1
7,20,True,1
8,20,True,1
9,20,True,1
10,20,True,1
11,20,True,1
12,20,True,1
13,20,True,1
14,20,True,1
15,20,True,1
16,20,True,1
17,20,True,1
18,20,True,1
19,20,True,1
20,20,True,1
21,20,True,1
1,21,True,1
2,21,True,1
3,21,True,1
4,21,True,1
5,21,True,1
6,21,True,1
7,21,True,1
8,21,True,1
9,21,True,1
10,21,True,1
11,21,True,1
12,21,True,1
13,21,True,1
14,21,True,1
15,21,True,1
16,21,True,1
17,21,True,1
18,21,True,1
19,21,True,1
20,21,True,1
21,21,True,1
